method,pool,cv_for_C,C_source,C,feature,selection_prob
stability,EXPANDED_36,random_10,auto,0.12743,diso_mpr_12m,0.05
stability,EXPANDED_36,random_10,auto,0.12743,bnp_test_12m,0.035
stability,EXPANDED_36,random_10,auto,0.12743,stress_count_12m,0.035
stability,EXPANDED_36,random_10,auto,0.12743,tte_count_6m,0.035
stability,EXPANDED_36,random_10,auto,0.12743,bb_ever,0.035
stability,EXPANDED_36,random_10,auto,0.12743,symptom_burden_3m,0.03
stability,EXPANDED_36,random_10,auto,0.12743,med_switches_12m,0.025
stability,EXPANDED_36,random_10,auto,0.12743,dual_bb_ccb_current,0.0
stability,EXPANDED_36,group_patient,auto,0.20691,cyp_inhibitor_active,1.0
stability,EXPANDED_36,group_patient,auto,0.20691,strain_count_12m,1.0
stability,EXPANDED_36,group_patient,auto,0.20691,ccb_ever,1.0
stability,EXPANDED_36,group_patient,auto,0.20691,bb_current,1.0
stability,EXPANDED_36,group_patient,auto,0.20691,ccb_current,1.0
stability,EXPANDED_36,group_patient,auto,0.20691,diso_ccb_combo_current,0.97
stability,EXPANDED_36,group_patient,auto,0.20691,er_or_inpatient_12m,0.795
stability,EXPANDED_36,group_patient,auto,0.20691,mri_ever,0.795
stability,EXPANDED_36,group_patient,auto,0.20691,af_flag,0.75
stability,EXPANDED_36,group_patient,auto,0.20691,bnp_test_3m,0.745
stability,EXPANDED_36,group_patient,auto,0.20691,bnp_test_6m,0.725
stability,EXPANDED_36,group_patient,auto,0.20691,months_since_diso,0.655
stability,EXPANDED_36,group_patient,auto,0.20691,tte_count_12m,0.645
stability,EXPANDED_36,group_patient,auto,0.20691,stress_count_3m,0.595
stability,EXPANDED_36,group_patient,auto,0.20691,stress_count_6m,0.48
stability,EXPANDED_36,group_patient,auto,0.20691,symptom_burden_12m,0.47
stability,EXPANDED_36,group_patient,auto,0.20691,tte_count_3m,0.435
stability,EXPANDED_36,group_patient,auto,0.20691,sex_F,0.425
stability,EXPANDED_36,group_patient,auto,0.20691,echo_acceleration,0.425
stability,EXPANDED_36,group_patient,auto,0.20691,high_em_count_6m,0.41
stability,EXPANDED_36,group_patient,auto,0.20691,age,0.4
stability,EXPANDED_36,group_patient,auto,0.20691,bb_ever,0.39
stability,EXPANDED_36,group_patient,auto,0.20691,symptom_burden_6m,0.32
stability,EXPANDED_36,group_patient,auto,0.20691,diso_mpr_12m,0.315
stability,EXPANDED_36,group_patient,auto,0.20691,high_em_count_12m,0.3
stability,EXPANDED_36,group_patient,auto,0.20691,mitral_flag,0.285
stability,EXPANDED_36,group_patient,auto,0.20691,hf_flag,0.28
stability,EXPANDED_36,group_patient,auto,0.20691,months_since_last_med_change,0.27
stability,EXPANDED_36,group_patient,auto,0.20691,high_em_count_3m,0.21
stability,EXPANDED_36,group_patient,auto,0.20691,n_hcm_meds,0.205
stability,EXPANDED_36,group_patient,auto,0.20691,med_switches_12m,0.155
stability,EXPANDED_36,group_patient,auto,0.20691,stress_count_12m,0.145
stability,EXPANDED_36,group_patient,auto,0.20691,bnp_test_12m,0.14
stability,EXPANDED_36,group_patient,auto,0.20691,symptom_burden_3m,0.125
stability,EXPANDED_36,group_patient,auto,0.20691,tte_count_6m,0.09
stability,EXPANDED_36,group_patient,auto,0.20691,dual_bb_ccb_current,0.0
stability,EXPANDED_36,time_5,auto,0.20691,cyp_inhibitor_active,1.0
stability,EXPANDED_36,time_5,auto,0.20691,strain_count_12m,1.0
stability,EXPANDED_36,time_5,auto,0.20691,ccb_ever,1.0
stability,EXPANDED_36,time_5,auto,0.20691,bb_current,1.0
stability,EXPANDED_36,time_5,auto,0.20691,ccb_current,1.0
stability,EXPANDED_36,time_5,auto,0.20691,diso_ccb_combo_current,0.97
stability,EXPANDED_36,time_5,auto,0.20691,er_or_inpatient_12m,0.795
stability,EXPANDED_36,time_5,auto,0.20691,mri_ever,0.795
stability,EXPANDED_36,time_5,auto,0.20691,af_flag,0.75
stability,EXPANDED_36,time_5,auto,0.20691,bnp_test_3m,0.745
stability,EXPANDED_36,time_5,auto,0.20691,bnp_test_6m,0.725
stability,EXPANDED_36,time_5,auto,0.20691,months_since_diso,0.655
stability,EXPANDED_36,time_5,auto,0.20691,tte_count_12m,0.645
stability,EXPANDED_36,time_5,auto,0.20691,stress_count_3m,0.595
stability,EXPANDED_36,time_5,auto,0.20691,stress_count_6m,0.48
stability,EXPANDED_36,time_5,auto,0.20691,symptom_burden_12m,0.47
stability,EXPANDED_36,time_5,auto,0.20691,tte_count_3m,0.435
stability,EXPANDED_36,time_5,auto,0.20691,sex_F,0.425
stability,EXPANDED_36,time_5,auto,0.20691,echo_acceleration,0.425
stability,EXPANDED_36,time_5,auto,0.20691,high_em_count_6m,0.41
stability,EXPANDED_36,time_5,auto,0.20691,age,0.4
stability,EXPANDED_36,time_5,auto,0.20691,bb_ever,0.39
stability,EXPANDED_36,time_5,auto,0.20691,symptom_burden_6m,0.32
stability,EXPANDED_36,time_5,auto,0.20691,diso_mpr_12m,0.315
stability,EXPANDED_36,time_5,auto,0.20691,high_em_count_12m,0.3
stability,EXPANDED_36,time_5,auto,0.20691,mitral_flag,0.285
stability,EXPANDED_36,time_5,auto,0.20691,hf_flag,0.28
stability,EXPANDED_36,time_5,auto,0.20691,months_since_last_med_change,0.27
stability,EXPANDED_36,time_5,auto,0.20691,high_em_count_3m,0.21
stability,EXPANDED_36,time_5,auto,0.20691,n_hcm_meds,0.205
stability,EXPANDED_36,time_5,auto,0.20691,med_switches_12m,0.155
stability,EXPANDED_36,time_5,auto,0.20691,stress_count_12m,0.145
stability,EXPANDED_36,time_5,auto,0.20691,bnp_test_12m,0.14
stability,EXPANDED_36,time_5,auto,0.20691,symptom_burden_3m,0.125
stability,EXPANDED_36,time_5,auto,0.20691,tte_count_6m,0.09
stability,EXPANDED_36,time_5,auto,0.20691,dual_bb_ccb_current,0.0
stability,EXPANDED_36,manual,manual,0.01,age,0.0
stability,EXPANDED_36,manual,manual,0.01,sex_F,0.0
stability,EXPANDED_36,manual,manual,0.01,diso_ccb_combo_current,0.0
stability,EXPANDED_36,manual,manual,0.01,tte_count_3m,0.0
stability,EXPANDED_36,manual,manual,0.01,tte_count_6m,0.0
stability,EXPANDED_36,manual,manual,0.01,tte_count_12m,0.0
stability,EXPANDED_36,manual,manual,0.01,symptom_burden_3m,0.0
stability,EXPANDED_36,manual,manual,0.01,symptom_burden_6m,0.0
stability,EXPANDED_36,manual,manual,0.01,symptom_burden_12m,0.0
stability,EXPANDED_36,manual,manual,0.01,stress_count_3m,0.0
stability,EXPANDED_36,manual,manual,0.01,stress_count_6m,0.0
stability,EXPANDED_36,manual,manual,0.01,stress_count_12m,0.0
stability,EXPANDED_36,manual,manual,0.01,high_em_count_3m,0.0
stability,EXPANDED_36,manual,manual,0.01,high_em_count_6m,0.0
stability,EXPANDED_36,manual,manual,0.01,high_em_count_12m,0.0
stability,EXPANDED_36,manual,manual,0.01,bnp_test_3m,0.0
stability,EXPANDED_36,manual,manual,0.01,bnp_test_6m,0.0
stability,EXPANDED_36,manual,manual,0.01,echo_acceleration,0.0
stability,EXPANDED_36,manual,manual,0.01,dual_bb_ccb_current,0.0
stability,EXPANDED_36,manual,manual,0.01,cyp_inhibitor_active,0.0
stability,EXPANDED_36,manual,manual,0.01,ccb_current,0.0
stability,EXPANDED_36,manual,manual,0.01,months_since_diso,0.0
stability,EXPANDED_36,manual,manual,0.01,n_hcm_meds,0.0
stability,EXPANDED_36,manual,manual,0.01,hf_flag,0.0
stability,EXPANDED_36,manual,manual,0.01,bb_ever,0.0
stability,EXPANDED_36,manual,manual,0.01,ccb_ever,0.0
stability,EXPANDED_36,manual,manual,0.01,bb_current,0.0
stability,EXPANDED_36,manual,manual,0.01,months_since_last_med_change,0.0
stability,EXPANDED_36,manual,manual,0.01,diso_mpr_12m,0.0
stability,EXPANDED_36,manual,manual,0.01,med_switches_12m,0.0
stability,EXPANDED_36,manual,manual,0.01,mri_ever,0.0
stability,EXPANDED_36,manual,manual,0.01,strain_count_12m,0.0
stability,EXPANDED_36,manual,manual,0.01,er_or_inpatient_12m,0.0
stability,EXPANDED_36,manual,manual,0.01,af_flag,0.0
stability,EXPANDED_36,manual,manual,0.01,mitral_flag,0.0
stability,EXPANDED_36,manual,manual,0.01,bnp_test_12m,0.0
stability,EXPANDED_36,manual,manual,0.05,ccb_ever,1.0
stability,EXPANDED_36,manual,manual,0.05,bb_current,0.69
stability,EXPANDED_36,manual,manual,0.05,bnp_test_6m,0.3
stability,EXPANDED_36,manual,manual,0.05,bnp_test_3m,0.225
stability,EXPANDED_36,manual,manual,0.05,months_since_diso,0.18
stability,EXPANDED_36,manual,manual,0.05,diso_ccb_combo_current,0.155
stability,EXPANDED_36,manual,manual,0.05,mri_ever,0.045
stability,EXPANDED_36,manual,manual,0.05,n_hcm_meds,0.045
stability,EXPANDED_36,manual,manual,0.05,stress_count_3m,0.035
stability,EXPANDED_36,manual,manual,0.05,months_since_last_med_change,0.015
stability,EXPANDED_36,manual,manual,0.05,stress_count_6m,0.01
stability,EXPANDED_36,manual,manual,0.05,strain_count_12m,0.01
stability,EXPANDED_36,manual,manual,0.05,symptom_burden_3m,0.0
stability,EXPANDED_36,manual,manual,0.05,symptom_burden_6m,0.0
stability,EXPANDED_36,manual,manual,0.05,symptom_burden_12m,0.0
stability,EXPANDED_36,manual,manual,0.05,age,0.0
stability,EXPANDED_36,manual,manual,0.05,stress_count_12m,0.0
stability,EXPANDED_36,manual,manual,0.05,high_em_count_3m,0.0
stability,EXPANDED_36,manual,manual,0.05,tte_count_6m,0.0
stability,EXPANDED_36,manual,manual,0.05,high_em_count_6m,0.0
stability,EXPANDED_36,manual,manual,0.05,high_em_count_12m,0.0
stability,EXPANDED_36,manual,manual,0.05,tte_count_12m,0.0
stability,EXPANDED_36,manual,manual,0.05,dual_bb_ccb_current,0.0
stability,EXPANDED_36,manual,manual,0.05,tte_count_3m,0.0
stability,EXPANDED_36,manual,manual,0.05,echo_acceleration,0.0
stability,EXPANDED_36,manual,manual,0.05,sex_F,0.0
stability,EXPANDED_36,manual,manual,0.05,cyp_inhibitor_active,0.0
stability,EXPANDED_36,manual,manual,0.05,diso_mpr_12m,0.0
stability,EXPANDED_36,manual,manual,0.05,mitral_flag,0.0
stability,EXPANDED_36,manual,manual,0.05,af_flag,0.0
stability,EXPANDED_36,manual,manual,0.05,er_or_inpatient_12m,0.0
stability,EXPANDED_36,manual,manual,0.05,med_switches_12m,0.0
stability,EXPANDED_36,manual,manual,0.05,ccb_current,0.0
stability,EXPANDED_36,manual,manual,0.05,bb_ever,0.0
stability,EXPANDED_36,manual,manual,0.05,hf_flag,0.0
stability,EXPANDED_36,manual,manual,0.05,bnp_test_12m,0.0
stability,EXPANDED_36,manual,manual,0.1,ccb_ever,1.0
stability,EXPANDED_36,manual,manual,0.1,bb_current,1.0
stability,EXPANDED_36,manual,manual,0.1,strain_count_12m,0.855
stability,EXPANDED_36,manual,manual,0.1,ccb_current,0.835
stability,EXPANDED_36,manual,manual,0.1,diso_ccb_combo_current,0.66
stability,EXPANDED_36,manual,manual,0.1,bnp_test_6m,0.615
stability,EXPANDED_36,manual,manual,0.1,bnp_test_3m,0.61
stability,EXPANDED_36,manual,manual,0.1,months_since_diso,0.57
stability,EXPANDED_36,manual,manual,0.1,mri_ever,0.545
stability,EXPANDED_36,manual,manual,0.1,er_or_inpatient_12m,0.41
stability,EXPANDED_36,manual,manual,0.1,stress_count_3m,0.365
stability,EXPANDED_36,manual,manual,0.1,cyp_inhibitor_active,0.265
stability,EXPANDED_36,manual,manual,0.1,af_flag,0.245
stability,EXPANDED_36,manual,manual,0.1,stress_count_6m,0.18
stability,EXPANDED_36,manual,manual,0.1,months_since_last_med_change,0.17
stability,EXPANDED_36,manual,manual,0.1,n_hcm_meds,0.17
stability,EXPANDED_36,manual,manual,0.1,symptom_burden_12m,0.17
stability,EXPANDED_36,manual,manual,0.1,high_em_count_6m,0.13
stability,EXPANDED_36,manual,manual,0.1,tte_count_3m,0.105
stability,EXPANDED_36,manual,manual,0.1,symptom_burden_6m,0.07
stability,EXPANDED_36,manual,manual,0.1,echo_acceleration,0.065
stability,EXPANDED_36,manual,manual,0.1,tte_count_12m,0.065
stability,EXPANDED_36,manual,manual,0.1,high_em_count_12m,0.06
stability,EXPANDED_36,manual,manual,0.1,sex_F,0.055
stability,EXPANDED_36,manual,manual,0.1,mitral_flag,0.035
stability,EXPANDED_36,manual,manual,0.1,age,0.035
stability,EXPANDED_36,manual,manual,0.1,high_em_count_3m,0.025
stability,EXPANDED_36,manual,manual,0.1,stress_count_12m,0.02
stability,EXPANDED_36,manual,manual,0.1,bnp_test_12m,0.02
stability,EXPANDED_36,manual,manual,0.1,symptom_burden_3m,0.015
stability,EXPANDED_36,manual,manual,0.1,tte_count_6m,0.01
stability,EXPANDED_36,manual,manual,0.1,med_switches_12m,0.01
stability,EXPANDED_36,manual,manual,0.1,hf_flag,0.01
stability,EXPANDED_36,manual,manual,0.1,diso_mpr_12m,0.005
stability,EXPANDED_36,manual,manual,0.1,bb_ever,0.0
stability,EXPANDED_36,manual,manual,0.1,dual_bb_ccb_current,0.0
stability,EXPANDED_36,manual,manual,0.5,diso_ccb_combo_current,1.0
stability,EXPANDED_36,manual,manual,0.5,ccb_ever,1.0
stability,EXPANDED_36,manual,manual,0.5,bb_current,1.0
stability,EXPANDED_36,manual,manual,0.5,ccb_current,1.0
stability,EXPANDED_36,manual,manual,0.5,cyp_inhibitor_active,1.0
stability,EXPANDED_36,manual,manual,0.5,strain_count_12m,1.0
stability,EXPANDED_36,manual,manual,0.5,tte_count_12m,0.985
stability,EXPANDED_36,manual,manual,0.5,af_flag,0.945
stability,EXPANDED_36,manual,manual,0.5,mri_ever,0.925
stability,EXPANDED_36,manual,manual,0.5,er_or_inpatient_12m,0.92
stability,EXPANDED_36,manual,manual,0.5,bnp_test_3m,0.85
stability,EXPANDED_36,manual,manual,0.5,bnp_test_6m,0.82
stability,EXPANDED_36,manual,manual,0.5,bb_ever,0.785
stability,EXPANDED_36,manual,manual,0.5,stress_count_3m,0.775
stability,EXPANDED_36,manual,manual,0.5,med_switches_12m,0.77
stability,EXPANDED_36,manual,manual,0.5,sex_F,0.77
stability,EXPANDED_36,manual,manual,0.5,diso_mpr_12m,0.765
stability,EXPANDED_36,manual,manual,0.5,stress_count_6m,0.735
stability,EXPANDED_36,manual,manual,0.5,age,0.725
stability,EXPANDED_36,manual,manual,0.5,tte_count_3m,0.71
stability,EXPANDED_36,manual,manual,0.5,months_since_diso,0.705
stability,EXPANDED_36,manual,manual,0.5,mitral_flag,0.7
stability,EXPANDED_36,manual,manual,0.5,echo_acceleration,0.7
stability,EXPANDED_36,manual,manual,0.5,bnp_test_12m,0.685
stability,EXPANDED_36,manual,manual,0.5,hf_flag,0.66
stability,EXPANDED_36,manual,manual,0.5,symptom_burden_12m,0.63
stability,EXPANDED_36,manual,manual,0.5,stress_count_12m,0.625
stability,EXPANDED_36,manual,manual,0.5,high_em_count_6m,0.62
stability,EXPANDED_36,manual,manual,0.5,high_em_count_12m,0.615
stability,EXPANDED_36,manual,manual,0.5,high_em_count_3m,0.58
stability,EXPANDED_36,manual,manual,0.5,symptom_burden_6m,0.55
stability,EXPANDED_36,manual,manual,0.5,symptom_burden_3m,0.505
stability,EXPANDED_36,manual,manual,0.5,months_since_last_med_change,0.445
stability,EXPANDED_36,manual,manual,0.5,n_hcm_meds,0.405
stability,EXPANDED_36,manual,manual,0.5,tte_count_6m,0.38
stability,EXPANDED_36,manual,manual,0.5,dual_bb_ccb_current,0.015
stability,EXPANDED_36,manual,manual,1.0,tte_count_12m,1.0
stability,EXPANDED_36,manual,manual,1.0,ccb_ever,1.0
stability,EXPANDED_36,manual,manual,1.0,diso_ccb_combo_current,1.0
stability,EXPANDED_36,manual,manual,1.0,strain_count_12m,1.0
stability,EXPANDED_36,manual,manual,1.0,ccb_current,1.0
stability,EXPANDED_36,manual,manual,1.0,bb_current,1.0
stability,EXPANDED_36,manual,manual,1.0,cyp_inhibitor_active,1.0
stability,EXPANDED_36,manual,manual,1.0,af_flag,0.985
stability,EXPANDED_36,manual,manual,1.0,er_or_inpatient_12m,0.97
stability,EXPANDED_36,manual,manual,1.0,mri_ever,0.965
stability,EXPANDED_36,manual,manual,1.0,sex_F,0.935
stability,EXPANDED_36,manual,manual,1.0,bnp_test_3m,0.925
stability,EXPANDED_36,manual,manual,1.0,bnp_test_6m,0.925
stability,EXPANDED_36,manual,manual,1.0,diso_mpr_12m,0.905
stability,EXPANDED_36,manual,manual,1.0,med_switches_12m,0.9
stability,EXPANDED_36,manual,manual,1.0,bb_ever,0.87
stability,EXPANDED_36,manual,manual,1.0,stress_count_6m,0.855
stability,EXPANDED_36,manual,manual,1.0,age,0.855
stability,EXPANDED_36,manual,manual,1.0,bnp_test_12m,0.855
stability,EXPANDED_36,manual,manual,1.0,hf_flag,0.855
stability,EXPANDED_36,manual,manual,1.0,stress_count_3m,0.85
stability,EXPANDED_36,manual,manual,1.0,tte_count_3m,0.84
stability,EXPANDED_36,manual,manual,1.0,mitral_flag,0.82
stability,EXPANDED_36,manual,manual,1.0,months_since_diso,0.805
stability,EXPANDED_36,manual,manual,1.0,high_em_count_12m,0.805
stability,EXPANDED_36,manual,manual,1.0,stress_count_12m,0.795
stability,EXPANDED_36,manual,manual,1.0,echo_acceleration,0.785
stability,EXPANDED_36,manual,manual,1.0,symptom_burden_6m,0.785
stability,EXPANDED_36,manual,manual,1.0,high_em_count_3m,0.78
stability,EXPANDED_36,manual,manual,1.0,high_em_count_6m,0.77
stability,EXPANDED_36,manual,manual,1.0,symptom_burden_12m,0.755
stability,EXPANDED_36,manual,manual,1.0,symptom_burden_3m,0.74
stability,EXPANDED_36,manual,manual,1.0,months_since_last_med_change,0.64
stability,EXPANDED_36,manual,manual,1.0,n_hcm_meds,0.61
stability,EXPANDED_36,manual,manual,1.0,tte_count_6m,0.595
stability,EXPANDED_36,manual,manual,1.0,dual_bb_ccb_current,0.365
stability,PRUNED_20,random_5,auto,0.20691,cyp_inhibitor_active,1.0
stability,PRUNED_20,random_5,auto,0.20691,strain_count_12m,1.0
stability,PRUNED_20,random_5,auto,0.20691,ccb_ever,1.0
stability,PRUNED_20,random_5,auto,0.20691,bb_current,1.0
stability,PRUNED_20,random_5,auto,0.20691,ccb_current,1.0
stability,PRUNED_20,random_5,auto,0.20691,diso_ccb_combo_current,0.97
stability,PRUNED_20,random_5,auto,0.20691,er_or_inpatient_12m,0.8
stability,PRUNED_20,random_5,auto,0.20691,mri_ever,0.775
stability,PRUNED_20,random_5,auto,0.20691,af_flag,0.735
stability,PRUNED_20,random_5,auto,0.20691,bnp_test_12m,0.7
stability,PRUNED_20,random_5,auto,0.20691,months_since_diso,0.645
stability,PRUNED_20,random_5,auto,0.20691,echo_acceleration,0.595
stability,PRUNED_20,random_5,auto,0.20691,tte_count_12m,0.585
stability,PRUNED_20,random_5,auto,0.20691,symptom_burden_12m,0.585
stability,PRUNED_20,random_5,auto,0.20691,high_em_count_12m,0.485
stability,PRUNED_20,random_5,auto,0.20691,sex_F,0.41
stability,PRUNED_20,random_5,auto,0.20691,age,0.41
stability,PRUNED_20,random_5,auto,0.20691,bb_ever,0.39
stability,PRUNED_20,random_5,auto,0.20691,stress_count_12m,0.385
stability,PRUNED_20,random_5,auto,0.20691,diso_mpr_12m,0.325
stability,PRUNED_20,random_5,auto,0.20691,mitral_flag,0.3
stability,PRUNED_20,random_5,auto,0.20691,months_since_last_med_change,0.285
stability,PRUNED_20,random_5,auto,0.20691,hf_flag,0.26
stability,PRUNED_20,random_5,auto,0.20691,n_hcm_meds,0.205
stability,PRUNED_20,random_5,auto,0.20691,med_switches_12m,0.135
stability,PRUNED_20,random_5,auto,0.20691,dual_bb_ccb_current,0.0
stability,PRUNED_20,random_10,auto,0.20691,cyp_inhibitor_active,1.0
stability,PRUNED_20,random_10,auto,0.20691,strain_count_12m,1.0
stability,PRUNED_20,random_10,auto,0.20691,ccb_ever,1.0
stability,PRUNED_20,random_10,auto,0.20691,bb_current,1.0
stability,PRUNED_20,random_10,auto,0.20691,ccb_current,1.0
stability,PRUNED_20,random_10,auto,0.20691,diso_ccb_combo_current,0.97
stability,PRUNED_20,random_10,auto,0.20691,er_or_inpatient_12m,0.8
stability,PRUNED_20,random_10,auto,0.20691,mri_ever,0.775
stability,PRUNED_20,random_10,auto,0.20691,af_flag,0.735
stability,PRUNED_20,random_10,auto,0.20691,bnp_test_12m,0.7
stability,PRUNED_20,random_10,auto,0.20691,months_since_diso,0.645
stability,PRUNED_20,random_10,auto,0.20691,echo_acceleration,0.595
stability,PRUNED_20,random_10,auto,0.20691,tte_count_12m,0.585
stability,PRUNED_20,random_10,auto,0.20691,symptom_burden_12m,0.585
stability,PRUNED_20,random_10,auto,0.20691,high_em_count_12m,0.485
stability,PRUNED_20,random_10,auto,0.20691,sex_F,0.41
stability,PRUNED_20,random_10,auto,0.20691,age,0.41
stability,PRUNED_20,random_10,auto,0.20691,bb_ever,0.39
stability,PRUNED_20,random_10,auto,0.20691,stress_count_12m,0.385
stability,PRUNED_20,random_10,auto,0.20691,diso_mpr_12m,0.325
stability,PRUNED_20,random_10,auto,0.20691,mitral_flag,0.3
stability,PRUNED_20,random_10,auto,0.20691,months_since_last_med_change,0.285
stability,PRUNED_20,random_10,auto,0.20691,hf_flag,0.26
stability,PRUNED_20,random_10,auto,0.20691,n_hcm_meds,0.205
stability,PRUNED_20,random_10,auto,0.20691,med_switches_12m,0.135
stability,PRUNED_20,random_10,auto,0.20691,dual_bb_ccb_current,0.0
stability,PRUNED_20,group_patient,auto,0.20691,cyp_inhibitor_active,1.0
stability,PRUNED_20,group_patient,auto,0.20691,strain_count_12m,1.0
stability,PRUNED_20,group_patient,auto,0.20691,ccb_ever,1.0
stability,PRUNED_20,group_patient,auto,0.20691,bb_current,1.0
stability,PRUNED_20,group_patient,auto,0.20691,ccb_current,1.0
stability,PRUNED_20,group_patient,auto,0.20691,diso_ccb_combo_current,0.97
stability,PRUNED_20,group_patient,auto,0.20691,er_or_inpatient_12m,0.8
stability,PRUNED_20,group_patient,auto,0.20691,mri_ever,0.775
stability,PRUNED_20,group_patient,auto,0.20691,af_flag,0.735
stability,PRUNED_20,group_patient,auto,0.20691,bnp_test_12m,0.7
stability,PRUNED_20,group_patient,auto,0.20691,months_since_diso,0.645
stability,PRUNED_20,group_patient,auto,0.20691,echo_acceleration,0.595
stability,PRUNED_20,group_patient,auto,0.20691,tte_count_12m,0.585
stability,PRUNED_20,group_patient,auto,0.20691,symptom_burden_12m,0.585
stability,PRUNED_20,group_patient,auto,0.20691,high_em_count_12m,0.485
stability,PRUNED_20,group_patient,auto,0.20691,sex_F,0.41
stability,PRUNED_20,group_patient,auto,0.20691,age,0.41
stability,PRUNED_20,group_patient,auto,0.20691,bb_ever,0.39
stability,PRUNED_20,group_patient,auto,0.20691,stress_count_12m,0.385
stability,PRUNED_20,group_patient,auto,0.20691,diso_mpr_12m,0.325
