method,pool,cv_for_C,C,n_bootstrap,sample_frac,threshold,n_selected,selected,refined_covered,refined_missing
stability,EXPANDED_36,manual,1.0,200.0,0.7,0.8,25,"tte_count_12m, ccb_ever, diso_ccb_combo_current, strain_count_12m, ccb_current, bb_current, cyp_inhibitor_active, af_flag, er_or_inpatient_12m, mri_ever, sex_F, bnp_test_3m, bnp_test_6m, diso_mpr_12m, med_switches_12m, bb_ever, stress_count_6m, age, bnp_test_12m, hf_flag, stress_count_3m, tte_count_3m, mitral_flag, months_since_diso, high_em_count_12m",5,n_hcm_meds
stability,EXPANDED_36,group_patient,0.20691,400.0,0.7,0.5,15,"cyp_inhibitor_active, ccb_ever, bb_current, ccb_current, strain_count_12m, diso_ccb_combo_current, er_or_inpatient_12m, af_flag, bnp_test_6m, mri_ever, bnp_test_3m, months_since_diso, stress_count_3m, tte_count_12m, stress_count_6m",5,n_hcm_meds
stability,EXPANDED_36,group_patient,0.20691,400.0,0.7,0.6,14,"cyp_inhibitor_active, ccb_ever, bb_current, ccb_current, strain_count_12m, diso_ccb_combo_current, er_or_inpatient_12m, af_flag, bnp_test_6m, mri_ever, bnp_test_3m, months_since_diso, stress_count_3m, tte_count_12m",5,n_hcm_meds
stability,EXPANDED_36,group_patient,0.20691,400.0,0.7,0.7,12,"cyp_inhibitor_active, ccb_ever, bb_current, ccb_current, strain_count_12m, diso_ccb_combo_current, er_or_inpatient_12m, af_flag, bnp_test_6m, mri_ever, bnp_test_3m, months_since_diso",5,n_hcm_meds
stability,EXPANDED_36,group_patient,0.20691,400.0,0.7,0.8,8,"cyp_inhibitor_active, ccb_ever, bb_current, ccb_current, strain_count_12m, diso_ccb_combo_current, er_or_inpatient_12m, af_flag",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,EXPANDED_36,group_patient,0.20691,200.0,0.5,0.5,12,"bb_current, ccb_ever, cyp_inhibitor_active, ccb_current, strain_count_12m, diso_ccb_combo_current, mri_ever, bnp_test_3m, months_since_diso, er_or_inpatient_12m, af_flag, bnp_test_6m",5,n_hcm_meds
stability,EXPANDED_36,group_patient,0.20691,200.0,0.5,0.6,9,"bb_current, ccb_ever, cyp_inhibitor_active, ccb_current, strain_count_12m, diso_ccb_combo_current, mri_ever, bnp_test_3m, months_since_diso",5,n_hcm_meds
stability,EXPANDED_36,group_patient,0.20691,200.0,0.5,0.7,6,"bb_current, ccb_ever, cyp_inhibitor_active, ccb_current, strain_count_12m, diso_ccb_combo_current",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,EXPANDED_36,group_patient,0.20691,200.0,0.5,0.8,6,"bb_current, ccb_ever, cyp_inhibitor_active, ccb_current, strain_count_12m, diso_ccb_combo_current",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,EXPANDED_36,group_patient,0.20691,200.0,0.9,0.5,21,"diso_ccb_combo_current, cyp_inhibitor_active, af_flag, ccb_ever, bb_current, ccb_current, er_or_inpatient_12m, strain_count_12m, mri_ever, bnp_test_6m, tte_count_12m, bnp_test_3m, months_since_diso, stress_count_3m, echo_acceleration, bb_ever, symptom_burden_12m, tte_count_3m, diso_mpr_12m, high_em_count_6m, stress_count_6m",5,n_hcm_meds
stability,EXPANDED_36,group_patient,0.20691,200.0,0.9,0.6,20,"diso_ccb_combo_current, cyp_inhibitor_active, af_flag, ccb_ever, bb_current, ccb_current, er_or_inpatient_12m, strain_count_12m, mri_ever, bnp_test_6m, tte_count_12m, bnp_test_3m, months_since_diso, stress_count_3m, echo_acceleration, bb_ever, symptom_burden_12m, tte_count_3m, diso_mpr_12m, high_em_count_6m",5,n_hcm_meds
stability,EXPANDED_36,group_patient,0.20691,200.0,0.9,0.7,15,"diso_ccb_combo_current, cyp_inhibitor_active, af_flag, ccb_ever, bb_current, ccb_current, er_or_inpatient_12m, strain_count_12m, mri_ever, bnp_test_6m, tte_count_12m, bnp_test_3m, months_since_diso, stress_count_3m, echo_acceleration",5,n_hcm_meds
stability,EXPANDED_36,group_patient,0.20691,200.0,0.9,0.8,14,"diso_ccb_combo_current, cyp_inhibitor_active, af_flag, ccb_ever, bb_current, ccb_current, er_or_inpatient_12m, strain_count_12m, mri_ever, bnp_test_6m, tte_count_12m, bnp_test_3m, months_since_diso, stress_count_3m",5,n_hcm_meds
stability,PRUNED_20,random_5,0.20691,200.0,0.7,0.5,14,"cyp_inhibitor_active, strain_count_12m, ccb_ever, bb_current, ccb_current, diso_ccb_combo_current, er_or_inpatient_12m, mri_ever, af_flag, bnp_test_12m, months_since_diso, echo_acceleration, tte_count_12m, symptom_burden_12m",5,n_hcm_meds
stability,PRUNED_20,random_5,0.20691,200.0,0.7,0.6,11,"cyp_inhibitor_active, strain_count_12m, ccb_ever, bb_current, ccb_current, diso_ccb_combo_current, er_or_inpatient_12m, mri_ever, af_flag, bnp_test_12m, months_since_diso",5,n_hcm_meds
stability,PRUNED_20,random_5,0.20691,200.0,0.7,0.7,10,"cyp_inhibitor_active, strain_count_12m, ccb_ever, bb_current, ccb_current, diso_ccb_combo_current, er_or_inpatient_12m, mri_ever, af_flag, bnp_test_12m",4,"months_since_diso, n_hcm_meds"
stability,PRUNED_20,random_5,0.20691,200.0,0.7,0.8,7,"cyp_inhibitor_active, strain_count_12m, ccb_ever, bb_current, ccb_current, diso_ccb_combo_current, er_or_inpatient_12m",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,PRUNED_20,random_10,0.20691,200.0,0.7,0.5,14,"cyp_inhibitor_active, strain_count_12m, ccb_ever, bb_current, ccb_current, diso_ccb_combo_current, er_or_inpatient_12m, mri_ever, af_flag, bnp_test_12m, months_since_diso, echo_acceleration, tte_count_12m, symptom_burden_12m",5,n_hcm_meds
stability,PRUNED_20,random_10,0.20691,200.0,0.7,0.6,11,"cyp_inhibitor_active, strain_count_12m, ccb_ever, bb_current, ccb_current, diso_ccb_combo_current, er_or_inpatient_12m, mri_ever, af_flag, bnp_test_12m, months_since_diso",5,n_hcm_meds
stability,PRUNED_20,random_10,0.20691,200.0,0.7,0.7,10,"cyp_inhibitor_active, strain_count_12m, ccb_ever, bb_current, ccb_current, diso_ccb_combo_current, er_or_inpatient_12m, mri_ever, af_flag, bnp_test_12m",4,"months_since_diso, n_hcm_meds"
stability,PRUNED_20,random_10,0.20691,200.0,0.7,0.8,7,"cyp_inhibitor_active, strain_count_12m, ccb_ever, bb_current, ccb_current, diso_ccb_combo_current, er_or_inpatient_12m",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,PRUNED_20,group_patient,0.20691,200.0,0.7,0.5,14,"cyp_inhibitor_active, strain_count_12m, ccb_ever, bb_current, ccb_current, diso_ccb_combo_current, er_or_inpatient_12m, mri_ever, af_flag, bnp_test_12m, months_since_diso, echo_acceleration, tte_count_12m, symptom_burden_12m",5,n_hcm_meds
stability,PRUNED_20,group_patient,0.20691,200.0,0.7,0.6,11,"cyp_inhibitor_active, strain_count_12m, ccb_ever, bb_current, ccb_current, diso_ccb_combo_current, er_or_inpatient_12m, mri_ever, af_flag, bnp_test_12m, months_since_diso",5,n_hcm_meds
stability,PRUNED_20,group_patient,0.20691,200.0,0.7,0.7,10,"cyp_inhibitor_active, strain_count_12m, ccb_ever, bb_current, ccb_current, diso_ccb_combo_current, er_or_inpatient_12m, mri_ever, af_flag, bnp_test_12m",4,"months_since_diso, n_hcm_meds"
stability,PRUNED_20,group_patient,0.20691,200.0,0.7,0.8,7,"cyp_inhibitor_active, strain_count_12m, ccb_ever, bb_current, ccb_current, diso_ccb_combo_current, er_or_inpatient_12m",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,PRUNED_20,time_5,0.33598,200.0,0.7,0.5,22,"diso_ccb_combo_current, cyp_inhibitor_active, ccb_ever, bb_current, ccb_current, strain_count_12m, tte_count_12m, er_or_inpatient_12m, af_flag, mri_ever, echo_acceleration, bnp_test_12m, symptom_burden_12m, high_em_count_12m, bb_ever, months_since_diso, diso_mpr_12m, age, sex_F, stress_count_12m, med_switches_12m, mitral_flag",5,n_hcm_meds
stability,PRUNED_20,time_5,0.33598,200.0,0.7,0.6,19,"diso_ccb_combo_current, cyp_inhibitor_active, ccb_ever, bb_current, ccb_current, strain_count_12m, tte_count_12m, er_or_inpatient_12m, af_flag, mri_ever, echo_acceleration, bnp_test_12m, symptom_burden_12m, high_em_count_12m, bb_ever, months_since_diso, diso_mpr_12m, age, sex_F",5,n_hcm_meds
stability,PRUNED_20,time_5,0.33598,200.0,0.7,0.7,13,"diso_ccb_combo_current, cyp_inhibitor_active, ccb_ever, bb_current, ccb_current, strain_count_12m, tte_count_12m, er_or_inpatient_12m, af_flag, mri_ever, echo_acceleration, bnp_test_12m, symptom_burden_12m",4,"months_since_diso, n_hcm_meds"
stability,PRUNED_20,time_5,0.33598,200.0,0.7,0.8,11,"diso_ccb_combo_current, cyp_inhibitor_active, ccb_ever, bb_current, ccb_current, strain_count_12m, tte_count_12m, er_or_inpatient_12m, af_flag, mri_ever, echo_acceleration",4,"months_since_diso, n_hcm_meds"
stability,PRUNED_20,manual,0.01,200.0,0.7,0.5,0,,0,"bb_current, ccb_current, ccb_ever, months_since_diso, mri_ever, n_hcm_meds"
stability,PRUNED_20,manual,0.01,200.0,0.7,0.6,0,,0,"bb_current, ccb_current, ccb_ever, months_since_diso, mri_ever, n_hcm_meds"
stability,PRUNED_20,manual,0.01,200.0,0.7,0.7,0,,0,"bb_current, ccb_current, ccb_ever, months_since_diso, mri_ever, n_hcm_meds"
stability,PRUNED_20,manual,0.01,200.0,0.7,0.8,0,,0,"bb_current, ccb_current, ccb_ever, months_since_diso, mri_ever, n_hcm_meds"
stability,PRUNED_20,manual,0.05,200.0,0.7,0.5,2,"ccb_ever, bb_current",2,"ccb_current, months_since_diso, mri_ever, n_hcm_meds"
stability,PRUNED_20,manual,0.05,200.0,0.7,0.6,2,"ccb_ever, bb_current",2,"ccb_current, months_since_diso, mri_ever, n_hcm_meds"
stability,PRUNED_20,manual,0.05,200.0,0.7,0.7,1,ccb_ever,1,"bb_current, ccb_current, months_since_diso, mri_ever, n_hcm_meds"
stability,PRUNED_20,manual,0.05,200.0,0.7,0.8,1,ccb_ever,1,"bb_current, ccb_current, months_since_diso, mri_ever, n_hcm_meds"
stability,PRUNED_20,manual,0.1,200.0,0.7,0.5,7,"ccb_ever, bb_current, strain_count_12m, ccb_current, diso_ccb_combo_current, months_since_diso, mri_ever",5,n_hcm_meds
stability,PRUNED_20,manual,0.1,200.0,0.7,0.6,5,"ccb_ever, bb_current, strain_count_12m, ccb_current, diso_ccb_combo_current",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,PRUNED_20,manual,0.1,200.0,0.7,0.7,4,"ccb_ever, bb_current, strain_count_12m, ccb_current",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,PRUNED_20,manual,0.1,200.0,0.7,0.8,4,"ccb_ever, bb_current, strain_count_12m, ccb_current",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,PRUNED_20,manual,0.5,200.0,0.7,0.5,23,"diso_ccb_combo_current, cyp_inhibitor_active, ccb_ever, bb_current, ccb_current, strain_count_12m, tte_count_12m, echo_acceleration, af_flag, er_or_inpatient_12m, mri_ever, bnp_test_12m, bb_ever, symptom_burden_12m, diso_mpr_12m, med_switches_12m, high_em_count_12m, sex_F, stress_count_12m, age, mitral_flag, months_since_diso, hf_flag",5,n_hcm_meds
stability,PRUNED_20,manual,0.5,200.0,0.7,0.6,23,"diso_ccb_combo_current, cyp_inhibitor_active, ccb_ever, bb_current, ccb_current, strain_count_12m, tte_count_12m, echo_acceleration, af_flag, er_or_inpatient_12m, mri_ever, bnp_test_12m, bb_ever, symptom_burden_12m, diso_mpr_12m, med_switches_12m, high_em_count_12m, sex_F, stress_count_12m, age, mitral_flag, months_since_diso, hf_flag",5,n_hcm_meds
stability,PRUNED_20,manual,0.5,200.0,0.7,0.7,20,"diso_ccb_combo_current, cyp_inhibitor_active, ccb_ever, bb_current, ccb_current, strain_count_12m, tte_count_12m, echo_acceleration, af_flag, er_or_inpatient_12m, mri_ever, bnp_test_12m, bb_ever, symptom_burden_12m, diso_mpr_12m, med_switches_12m, high_em_count_12m, sex_F, stress_count_12m, age",4,"months_since_diso, n_hcm_meds"
stability,PRUNED_20,manual,0.5,200.0,0.7,0.8,12,"diso_ccb_combo_current, cyp_inhibitor_active, ccb_ever, bb_current, ccb_current, strain_count_12m, tte_count_12m, echo_acceleration, af_flag, er_or_inpatient_12m, mri_ever, bnp_test_12m",4,"months_since_diso, n_hcm_meds"
stability,PRUNED_20,manual,1.0,200.0,0.7,0.5,25,"diso_ccb_combo_current, ccb_ever, bb_current, ccb_current, cyp_inhibitor_active, strain_count_12m, tte_count_12m, echo_acceleration, af_flag, mri_ever, er_or_inpatient_12m, diso_mpr_12m, sex_F, symptom_burden_12m, bnp_test_12m, med_switches_12m, stress_count_12m, high_em_count_12m, bb_ever, age, hf_flag, mitral_flag, months_since_diso, months_since_last_med_change, n_hcm_meds",6,
stability,PRUNED_20,manual,1.0,200.0,0.7,0.6,25,"diso_ccb_combo_current, ccb_ever, bb_current, ccb_current, cyp_inhibitor_active, strain_count_12m, tte_count_12m, echo_acceleration, af_flag, mri_ever, er_or_inpatient_12m, diso_mpr_12m, sex_F, symptom_burden_12m, bnp_test_12m, med_switches_12m, stress_count_12m, high_em_count_12m, bb_ever, age, hf_flag, mitral_flag, months_since_diso, months_since_last_med_change, n_hcm_meds",6,
stability,PRUNED_20,manual,1.0,200.0,0.7,0.7,23,"diso_ccb_combo_current, ccb_ever, bb_current, ccb_current, cyp_inhibitor_active, strain_count_12m, tte_count_12m, echo_acceleration, af_flag, mri_ever, er_or_inpatient_12m, diso_mpr_12m, sex_F, symptom_burden_12m, bnp_test_12m, med_switches_12m, stress_count_12m, high_em_count_12m, bb_ever, age, hf_flag, mitral_flag, months_since_diso",5,n_hcm_meds
stability,PRUNED_20,manual,1.0,200.0,0.7,0.8,22,"diso_ccb_combo_current, ccb_ever, bb_current, ccb_current, cyp_inhibitor_active, strain_count_12m, tte_count_12m, echo_acceleration, af_flag, mri_ever, er_or_inpatient_12m, diso_mpr_12m, sex_F, symptom_burden_12m, bnp_test_12m, med_switches_12m, stress_count_12m, high_em_count_12m, bb_ever, age, hf_flag, mitral_flag",4,"months_since_diso, n_hcm_meds"
stability,PRUNED_20,group_patient,0.20691,400.0,0.7,0.5,15,"cyp_inhibitor_active, strain_count_12m, ccb_ever, bb_current, ccb_current, diso_ccb_combo_current, er_or_inpatient_12m, af_flag, mri_ever, bnp_test_12m, months_since_diso, tte_count_12m, symptom_burden_12m, echo_acceleration, high_em_count_12m",5,n_hcm_meds
stability,PRUNED_20,group_patient,0.20691,400.0,0.7,0.6,11,"cyp_inhibitor_active, strain_count_12m, ccb_ever, bb_current, ccb_current, diso_ccb_combo_current, er_or_inpatient_12m, af_flag, mri_ever, bnp_test_12m, months_since_diso",5,n_hcm_meds
stability,PRUNED_20,group_patient,0.20691,400.0,0.7,0.7,11,"cyp_inhibitor_active, strain_count_12m, ccb_ever, bb_current, ccb_current, diso_ccb_combo_current, er_or_inpatient_12m, af_flag, mri_ever, bnp_test_12m, months_since_diso",5,n_hcm_meds
stability,PRUNED_20,group_patient,0.20691,400.0,0.7,0.8,7,"cyp_inhibitor_active, strain_count_12m, ccb_ever, bb_current, ccb_current, diso_ccb_combo_current, er_or_inpatient_12m",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,PRUNED_20,group_patient,0.20691,200.0,0.5,0.5,12,"ccb_ever, bb_current, cyp_inhibitor_active, ccb_current, strain_count_12m, diso_ccb_combo_current, mri_ever, months_since_diso, bnp_test_12m, er_or_inpatient_12m, af_flag, symptom_burden_12m",5,n_hcm_meds
stability,PRUNED_20,group_patient,0.20691,200.0,0.5,0.6,8,"ccb_ever, bb_current, cyp_inhibitor_active, ccb_current, strain_count_12m, diso_ccb_combo_current, mri_ever, months_since_diso",5,n_hcm_meds
stability,PRUNED_20,group_patient,0.20691,200.0,0.5,0.7,6,"ccb_ever, bb_current, cyp_inhibitor_active, ccb_current, strain_count_12m, diso_ccb_combo_current",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,PRUNED_20,group_patient,0.20691,200.0,0.5,0.8,6,"ccb_ever, bb_current, cyp_inhibitor_active, ccb_current, strain_count_12m, diso_ccb_combo_current",3,"months_since_diso, mri_ever, n_hcm_meds"
stability,PRUNED_20,group_patient,0.20691,200.0,0.9,0.5,17,"er_or_inpatient_12m, diso_ccb_combo_current, cyp_inhibitor_active, ccb_ever, bb_current, ccb_current, strain_count_12m, af_flag, mri_ever, tte_count_12m, bnp_test_12m, months_since_diso, echo_acceleration, symptom_burden_12m, bb_ever, diso_mpr_12m, high_em_count_12m",5,n_hcm_meds
stability,PRUNED_20,group_patient,0.20691,200.0,0.9,0.6,17,"er_or_inpatient_12m, diso_ccb_combo_current, cyp_inhibitor_active, ccb_ever, bb_current, ccb_current, strain_count_12m, af_flag, mri_ever, tte_count_12m, bnp_test_12m, months_since_diso, echo_acceleration, symptom_burden_12m, bb_ever, diso_mpr_12m, high_em_count_12m",5,n_hcm_meds
stability,PRUNED_20,group_patient,0.20691,200.0,0.9,0.7,14,"er_or_inpatient_12m, diso_ccb_combo_current, cyp_inhibitor_active, ccb_ever, bb_current, ccb_current, strain_count_12m, af_flag, mri_ever, tte_count_12m, bnp_test_12m, months_since_diso, echo_acceleration, symptom_burden_12m",5,n_hcm_meds
