code,source,window_months,n_with_code,prev_initiators,prev_non_initiators,odds_ratio,fisher_p,mw_p,fisher_p_adj,description,category
97530,px,12,52,0.13043478260869565,0.05657492354740061,2.5013513513513512,0.00753471873584741,0.0035243874429238754,1.0,Therapeutic Activities,procedure
1159F,px,6,38,0.10434782608695652,0.039755351681957186,2.8140403286034354,0.007963305771210417,0.0032313071132419814,1.0,Med List Docd In Rcrd,procedure
1036F,px,6,39,0.10434782608695652,0.04128440366972477,2.705501618122977,0.00930095727175772,0.004616144552605618,1.0,Tobacco Non-User,procedure
83735,px,3,39,0.10434782608695652,0.04128440366972477,2.705501618122977,0.00930095727175772,0.004490566071711665,1.0,Assay Of Magnesium,lab test
83970,px,12,39,0.10434782608695652,0.04128440366972477,2.705501618122977,0.00930095727175772,0.004512066297227285,1.0,Assay Of Parathormone,lab test
A7035,px,6,34,0.09565217391304348,0.035168195718654434,2.9017558528428093,0.01068392478131273,0.003730212482516446,1.0,Pos Airway Press Headgear,supply/service
77063,px,12,78,0.17391304347826086,0.08868501529051988,2.163339382940109,0.010856403560745916,0.005199341183016881,1.0,Breast Tomosynthesis Bi,imaging
81001,px,12,118,0.23478260869565218,0.13914373088685014,1.8982267732267732,0.011472950722024325,0.007356719282351205,1.0,Urinalysis Auto W/Scope,lab test
99215,px,6,107,0.21739130434782608,0.12538226299694188,1.937669376693767,0.012486805663583251,0.007746015698944701,1.0,Office O/P Est Hi 40-54 Min,office visit
82607,px,6,50,0.12173913043478261,0.05504587155963303,2.3795379537953796,0.012637070211499499,0.007268646633756311,1.0,Vitamin B-12,lab test
87086,px,3,23,0.06956521739130435,0.022935779816513763,3.1850467289719626,0.013559150234034652,0.006836316009770058,1.0,Urine Culture/Colony Count,lab test
1036F,px,12,71,0.1565217391304348,0.08103975535168195,2.1042598716203074,0.01414028542537226,0.010985126677874742,1.0,Tobacco Non-User,procedure
82607,px,12,97,0.2,0.11314984709480122,1.9594594594594594,0.014190659415994235,0.009146549321584997,1.0,Vitamin B-12,lab test
A7035,px,3,19,0.06086956521739131,0.01834862385321101,3.4675925925925926,0.014864727468277585,0.006803489256844295,1.0,Pos Airway Press Headgear,supply/service
90471,px,3,19,0.06086956521739131,0.01834862385321101,3.4675925925925926,0.014864727468277585,0.0064000448439708495,1.0,Immunization Admin,procedure
M5136,dx,12,11,0.043478260869565216,0.009174311926605505,4.909090909090909,0.014978768324707894,0.004316427689726748,1.0,"Other Intervertebral Disc Degeneration, Lumbar Region",diagnosis
E6601,dx,12,65,0.14782608695652175,0.07339449541284404,2.190051020408163,0.016417951903965555,0.006293345454146577,1.0,Morbid (Severe) Obesity Due To Excess Calories,diagnosis
97530,px,6,31,0.08695652173913043,0.03211009174311927,2.870748299319728,0.016440906914077652,0.005620235414041971,1.0,Therapeutic Activities,procedure
87086,px,12,88,0.1826086956521739,0.10244648318042814,1.9572880279453795,0.01698027903890109,0.014487617507460127,1.0,Urine Culture/Colony Count,lab test
Q9967,px,12,104,0.20869565217391303,0.12232415902140673,1.8923076923076922,0.017417328434634134,0.012754306897755172,1.0,"Locm 300-399Mg/Ml Iodine,1Ml",supply/service
Q9967,px,3,32,0.08695652173913043,0.03363914373088685,2.735930735930736,0.01839480117726132,0.00799276041454884,1.0,"Locm 300-399Mg/Ml Iodine,1Ml",supply/service
K219,dx,6,93,0.19130434782608696,0.10856269113149847,1.9424504013327275,0.018938209841538836,0.01279481973384546,1.0,Gastro-Esophageal Reflux Disease Without Esophagitis,diagnosis
99239,px,6,38,0.09565217391304348,0.04128440366972477,2.4561965811965814,0.019351700637825094,0.013190594654688931,1.0,Hosp Ip/Obs Dschrg Mgmt >30,office visit
E1390,px,6,16,0.05217391304347826,0.01529051987767584,3.544954128440367,0.02194539355411324,0.010682763466619616,1.0,Oxygen Concentrator,supply/service
Verapamil Hydrochloride,rx,3,177,0.14782608695652175,0.24464831804281345,0.5355867346938775,0.02249964085868538,0.010408947733194276,1.0,Verapamil Hydrochloride,medication
M255,dx,12,49,0.017391304347826087,0.07186544342507645,0.228582187911881,0.022522295487127877,0.029286943730920566,1.0,Pain In Joint,diagnosis
B351,dx,3,27,0.0,0.04128440366972477,0.0,0.023660133816775612,0.02669113761848778,1.0,Tinea Unguium,diagnosis
85730,px,6,43,0.10434782608695652,0.047400611620795105,2.3413717507046665,0.024760528150505307,0.014604745809270327,1.0,Thromboplastin Time Partial,lab test
84443,px,6,90,0.1826086956521739,0.10550458715596331,1.8940795559666974,0.026405240197166488,0.01605239852443868,1.0,Assay Thyroid Stim Hormone,lab test
85610,px,3,21,0.06086956521739131,0.021406727828746176,2.962962962962963,0.026464694502726722,0.016747102672957707,1.0,Prothrombin Time,lab test
81001,px,6,54,0.12173913043478261,0.06116207951070336,2.127722772277228,0.02781199004933062,0.019533142364481865,1.0,Urinalysis Auto W/Scope,lab test
1123F,px,12,29,0.0782608695652174,0.03058103975535168,2.6915094339622643,0.028048130453130878,0.013636790660687044,1.0,Acp Discuss/Dscn Mkr Docd,procedure
85730,px,12,79,0.16521739130434782,0.09174311926605505,1.959375,0.028710246608651447,0.01838580716294636,1.0,Thromboplastin Time Partial,lab test
Glipizide,rx,6,17,0.05217391304347826,0.016819571865443424,3.21768140116764,0.029854842546225405,0.01752275700316249,1.0,Glipizide,medication
G0463,px,12,130,0.24347826086956523,0.1559633027522936,1.7417173766058147,0.029992143945181238,0.014713574845543934,1.0,Hospital Outpt Clinic Visit,supply/service
75561,px,12,55,0.12173913043478261,0.06269113149847094,2.0724462690171457,0.030455845643412208,0.024017538696480482,1.0,Cardiac Mri For Morph W/Dye,imaging
85652,px,6,30,0.0782608695652174,0.03211009174311927,2.559299191374663,0.031735233345767375,0.018832803115209025,1.0,Rbc Sed Rate Automated,lab test
Z87891,dx,6,13,0.043478260869565216,0.012232415902140673,3.6704545454545454,0.03249560171543726,0.016648444620772442,1.0,Personal History Of Nicotine Dependence,diagnosis
17000,px,6,13,0.043478260869565216,0.012232415902140673,3.6704545454545454,0.03249560171543726,0.016648444620772442,1.0,Destruct Premalg Lesion,procedure
G0463,px,6,70,0.14782608695652175,0.08103975535168195,1.9670773969965345,0.03302979935681115,0.022703772141539996,1.0,Hospital Outpt Clinic Visit,supply/service
83970,px,6,22,0.06086956521739131,0.022935779816513763,2.761111111111111,0.03410803927348114,0.024568141032403602,1.0,Assay Of Parathormone,lab test
A0429,px,6,22,0.06086956521739131,0.022935779816513763,2.761111111111111,0.03410803927348114,0.024568141032403602,1.0,Bls-Emergency,supply/service
J2405,px,3,22,0.06086956521739131,0.022935779816513763,2.761111111111111,0.03410803927348114,0.024568141032403602,1.0,Ondansetron Hcl Injection,supply/service
99238,px,12,23,0.0,0.035168195718654434,0.0,0.03627408953460983,0.041378043673662705,1.0,Hosp Ip/Obs Dschrg Mgmt 30/<,office visit
83735,px,12,122,0.22608695652173913,0.14678899082568808,1.6980337078651686,0.0377466899971216,0.03097271691416341,1.0,Assay Of Magnesium,lab test
R531,dx,3,18,0.05217391304347826,0.01834862385321101,2.944954128440367,0.0394357586513648,0.02709079771029372,1.0,Weakness,diagnosis
1123F,px,6,14,0.043478260869565216,0.013761467889908258,3.257575757575758,0.04464191974869535,0.02810781486287512,1.0,Acp Discuss/Dscn Mkr Docd,procedure
84153,px,3,14,0.043478260869565216,0.013761467889908258,3.257575757575758,0.04464191974869535,0.02810781486287512,1.0,Assay Of Psa Total,lab test
74177,px,3,14,0.043478260869565216,0.013761467889908258,3.257575757575758,0.04464191974869535,0.02810781486287512,1.0,Ct Abd & Pelv W/Contrast,imaging
86900,px,12,55,0.02608695652173913,0.07951070336391437,0.31009615384615385,0.04736993524505808,0.04010215614925443,1.0,Blood Typing Serologic Abo,lab test
R918,dx,6,10,0.034782608695652174,0.009174311926605505,3.891891891891892,0.04833561620470755,0.025561173658486553,1.0,Other Nonspecific Abnormal Finding Of Lung Field,diagnosis
Amoxicillin,rx,3,10,0.034782608695652174,0.009174311926605505,3.891891891891892,0.04833561620470755,0.025561173658486553,1.0,Amoxicillin,medication
1125F,px,12,19,0.05217391304347826,0.019877675840978593,2.714184897671136,0.05077623458202049,0.03879880990491161,1.0,Amnt Pain Noted Pain Prsnt,procedure
R918,dx,12,19,0.05217391304347826,0.019877675840978593,2.714184897671136,0.05077623458202049,0.039845997501109925,1.0,Other Nonspecific Abnormal Finding Of Lung Field,diagnosis
R001,dx,12,19,0.05217391304347826,0.019877675840978593,2.714184897671136,0.05077623458202049,0.039845997501109925,1.0,"Bradycardia, Unspecified",diagnosis
Z87891,dx,12,19,0.05217391304347826,0.019877675840978593,2.714184897671136,0.05077623458202049,0.04034191748036457,1.0,Personal History Of Nicotine Dependence,diagnosis
87086,px,6,47,0.10434782608695652,0.053516819571865444,2.0604715672676837,0.0539357817926646,0.03722684162749678,1.0,Urine Culture/Colony Count,lab test
E6601,dx,6,37,0.08695652173913043,0.04128440366972477,2.2116402116402116,0.05404471651002774,0.032729390657103986,1.0,Morbid (Severe) Obesity Due To Excess Calories,diagnosis
82962,px,12,37,0.08695652173913043,0.04128440366972477,2.2116402116402116,0.05404471651002774,0.03498226805745983,1.0,Glucose Blood Test,lab test
J7120,px,12,37,0.08695652173913043,0.04128440366972477,2.2116402116402116,0.05404471651002774,0.03552209248826044,1.0,Ringers Lactate Infusion,supply/service
G2211,px,12,125,0.22608695652173913,0.15137614678899083,1.63772557030984,0.05446612838283864,0.04762778547310893,1.0,Complex E/M Visit Add On,supply/service
K219,dx,12,178,0.30434782608695654,0.21865443425076453,1.5633741258741258,0.05456788564755728,0.05270204312538899,1.0,Gastro-Esophageal Reflux Disease Without Esophagitis,diagnosis
I422,dx,12,377,0.5739130434782609,0.47553516819571867,1.4855305466237942,0.05502986835711871,0.07881075202363434,1.0,Other Hypertrophic Cardiomyopathy,diagnosis
Metoprolol Succinate,rx,12,190,0.17391304347826086,0.2599388379204893,0.5993808049535604,0.06005943798499712,0.020701782002255108,1.0,Metoprolol Succinate,medication
Z0000,dx,6,191,0.3217391304347826,0.23547400611620795,1.54012654012654,0.06055767246814836,0.04738744349360229,1.0,Encntr For General Adult Medical Exam W/O Abnormal Findings,diagnosis
80050,px,6,49,0.10434782608695652,0.05657492354740061,1.942797166098137,0.062135318068317104,0.05493316085425246,1.0,General Health Panel,lab test
82607,px,3,29,0.06956521739130435,0.03211009174311927,2.253671562082777,0.062455485577182945,0.052076827213280906,1.0,Vitamin B-12,lab test
77063,px,6,29,0.06956521739130435,0.03211009174311927,2.253671562082777,0.062455485577182945,0.04996530495372478,1.0,Breast Tomosynthesis Bi,imaging
80048,px,6,115,0.20869565217391303,0.13914373088685014,1.631686994324357,0.06459000216071159,0.03731752269220786,1.0,Metabolic Panel Total Ca,lab test
E785,dx,6,243,0.391304347826087,0.30275229357798167,1.4805194805194806,0.06480806203156204,0.05898101080200649,1.0,"Hyperlipidemia, Unspecified",diagnosis
93018,px,6,23,0.06086956521739131,0.024464831804281346,2.584490740740741,0.06581311752881416,0.03473219853868379,1.0,Cardiovascular Stress Test,procedure
78452,px,6,23,0.06086956521739131,0.024464831804281346,2.584490740740741,0.06581311752881416,0.03473219853868379,1.0,Ht Muscle Image Spect Mult,imaging
96365,px,6,23,0.06086956521739131,0.024464831804281346,2.584490740740741,0.06581311752881416,0.03520206226293502,1.0,Ther/Proph/Diag Iv Inf Init,procedure
F329,dx,6,23,0.06086956521739131,0.024464831804281346,2.584490740740741,0.06581311752881416,0.03473219853868379,1.0,"Major Depressive Disorder, Single Episode, Unspecified",diagnosis
83880,px,12,116,0.20869565217391303,0.14067278287461774,1.6110845676063068,0.06654473534994468,0.05751815966248837,1.0,Assay Of Natriuretic Peptide,lab test
I5030,dx,12,52,0.02608695652173913,0.07492354740061162,0.33072157434402333,0.067354254247994,0.0546442702333597,1.0,Unspecified Diastolic (Congestive) Heart Failure,diagnosis
Mupirocin,rx,6,11,0.034782608695652174,0.010703363914373088,3.3307593307593306,0.06739667213613593,0.0451725878062564,1.0,Mupirocin,medication
Z01810,dx,6,11,0.034782608695652174,0.010703363914373088,3.3307593307593306,0.06739667213613593,0.045651646439910674,1.0,Encounter For Preprocedural Cardiovascular Examination,diagnosis
Z01810,dx,3,11,0.034782608695652174,0.010703363914373088,3.3307593307593306,0.06739667213613593,0.0451725878062564,1.0,Encounter For Preprocedural Cardiovascular Examination,diagnosis
80048,px,3,65,0.13043478260869565,0.0764525993883792,1.812,0.06764921991675427,0.052266547787789344,1.0,Metabolic Panel Total Ca,lab test
3008F,px,12,81,0.1565217391304348,0.0963302752293578,1.7407952871870398,0.06828217581560281,0.04734530635872037,1.0,Body Mass Index Docd,procedure
99205,px,12,82,0.1565217391304348,0.09785932721712538,1.7106958762886597,0.07079216691585537,0.04949551526575116,1.0,Office O/P New Hi 60-74 Min,office visit
86803,px,6,24,0.06086956521739131,0.02599388379204893,2.428649237472767,0.07271373199731217,0.0481366948175895,1.0,Hepatitis C Ab Test,lab test
E559,dx,12,151,0.2608695652173913,0.18501529051987767,1.554691298006806,0.07391817991498095,0.08156535799634777,1.0,"Vitamin D Deficiency, Unspecified",diagnosis
93295,px,3,33,0.0782608695652174,0.03669724770642202,2.2287735849056602,0.0748150510548071,0.04273729305431638,1.0,Dev Interrog Remote 1/2/Mlt,procedure
99215,px,3,55,0.11304347826086956,0.06422018348623854,1.8571428571428572,0.07543776954288439,0.06309475583401217,1.0,Office O/P Est Hi 40-54 Min,office visit
E6601,dx,3,16,0.043478260869565216,0.016819571865443424,2.65702479338843,0.07608916710920832,0.0621600730797953,1.0,Morbid (Severe) Obesity Due To Excess Calories,diagnosis
Apixaban,rx,6,16,0.043478260869565216,0.016819571865443424,2.65702479338843,0.07608916710920832,0.06504576864477966,1.0,Apixaban,medication
Mupirocin,rx,12,16,0.043478260869565216,0.016819571865443424,2.65702479338843,0.07608916710920832,0.06504576864477966,1.0,Mupirocin,medication
M170,dx,3,16,0.043478260869565216,0.016819571865443424,2.65702479338843,0.07608916710920832,0.06504576864477966,1.0,Primary Osteoarthritis Of Knee,diagnosis
83550,px,3,16,0.043478260869565216,0.016819571865443424,2.65702479338843,0.07608916710920832,0.06504576864477966,1.0,Iron Binding Test,lab test
E785,dx,3,129,0.22608695652173913,0.15749235474006115,1.5627795352896259,0.0783867351410773,0.07411689331784692,1.0,"Hyperlipidemia, Unspecified",diagnosis
93321,px,6,34,0.0782608695652174,0.0382262996941896,2.1362264150943395,0.07948692184683306,0.05507495363359972,1.0,Doppler Echo Exam Heart,procedure
83550,px,6,34,0.0782608695652174,0.0382262996941896,2.1362264150943395,0.07948692184683306,0.054342858725022015,1.0,Iron Binding Test,lab test
83880,px,6,72,0.1391304347826087,0.0856269113149847,1.725829725829726,0.08156967881730218,0.06908401327311527,1.0,Assay Of Natriuretic Peptide,lab test
81003,px,3,25,0.06086956521739131,0.027522935779816515,2.2901234567901234,0.08160694681006597,0.06323284425822966,1.0,Urinalysis Auto W/O Scope,lab test
Alprazolam,rx,12,25,0.06086956521739131,0.027522935779816515,2.2901234567901234,0.08160694681006597,0.06323284425822966,1.0,Alprazolam,medication
G0378,px,12,57,0.034782608695652174,0.08103975535168195,0.4086350501444841,0.0845706238591817,0.0803889678476326,1.0,Hospital Observation Per Hr,supply/service
Z0000,dx,3,113,0.2,0.13761467889908258,1.5666666666666667,0.08720935203493659,0.07922490350717373,1.0,Encntr For General Adult Medical Exam W/O Abnormal Findings,diagnosis
93321,px,12,61,0.12173913043478261,0.07186544342507645,1.7901832736465135,0.08948379238862621,0.07035267155677485,1.0,Doppler Echo Exam Heart,procedure
R051,dx,12,12,0.034782608695652174,0.012232415902140673,2.90990990990991,0.08976763768098678,0.07231862177453692,1.0,Acute Cough,diagnosis
I5189,dx,12,12,0.034782608695652174,0.012232415902140673,2.90990990990991,0.08976763768098678,0.07231862177453692,1.0,Other Ill-Defined Heart Diseases,diagnosis
U071,dx,3,12,0.034782608695652174,0.012232415902140673,2.90990990990991,0.08976763768098678,0.07231862177453692,1.0,Covid-19,diagnosis
1125F,px,6,12,0.034782608695652174,0.012232415902140673,2.90990990990991,0.08976763768098678,0.07098522842526342,1.0,Amnt Pain Noted Pain Prsnt,procedure
R42,dx,6,12,0.034782608695652174,0.012232415902140673,2.90990990990991,0.08976763768098678,0.07231862177453692,1.0,Dizziness And Giddiness,diagnosis
Doxycycline Hyclate,rx,6,12,0.034782608695652174,0.012232415902140673,2.90990990990991,0.08976763768098678,0.07231862177453692,1.0,Doxycycline Hyclate,medication
93296,px,12,118,0.20869565217391303,0.1437308868501529,1.5711947626841243,0.09121675079664666,0.06213766703728767,1.0,Rem Interrog Evl Pm/Ids,procedure
Levothyroxine Sodium,rx,12,18,0.0,0.027522935779816515,0.0,0.09170857640559843,0.07214354860361598,1.0,Levothyroxine Sodium,medication
Docusate Sodium,rx,12,18,0.0,0.027522935779816515,0.0,0.09170857640559843,0.07214354860361598,1.0,Docusate Sodium,medication
Q9967,px,6,62,0.12173913043478261,0.07339449541284404,1.75,0.09317308117514844,0.07619372727525567,1.0,"Locm 300-399Mg/Ml Iodine,1Ml",supply/service
G0463,px,3,36,0.0782608695652174,0.04128440366972477,1.971698113207547,0.09341510090849771,0.08374542193394933,1.0,Hospital Outpt Clinic Visit,supply/service
85025,px,12,125,0.21739130434782608,0.1529051987767584,1.538888888888889,0.09924009060055972,0.09825799309706709,1.0,Complete Cbc W/Auto Diff Wbc,lab test
J7120,px,6,20,0.05217391304347826,0.021406727828746176,2.5163826998689385,0.1014106218017399,0.05681864619631993,1.0,Ringers Lactate Infusion,supply/service
97112,px,12,38,0.017391304347826087,0.05504587155963303,0.30383480825958703,0.10220659535730447,0.08586773804811658,1.0,Neuromuscular Reeducation,procedure
78452,px,12,37,0.0782608695652174,0.04281345565749235,1.8982479784366577,0.1025955881949427,0.10176050503104624,1.0,Ht Muscle Image Spect Mult,imaging
99291,px,6,28,0.008695652173913044,0.04128440366972477,0.2037037037037037,0.10486970783052588,0.08553378494903255,1.0,Critical Care First Hour,office visit
92015,px,6,27,0.06086956521739131,0.03058103975535168,2.0546296296296296,0.10512840421879605,0.10510416558633637,1.0,Determine Refractive State,procedure
82947,px,12,29,0.008695652173913044,0.04281345565749235,0.19611528822055138,0.10661010997647091,0.07672669378349868,1.0,Assay Glucose Blood Quant,lab test
99396,px,6,68,0.13043478260869565,0.08103975535168195,1.700943396226415,0.10670739016632602,0.08690906665150673,1.0,Prev Visit Est Age 40-64,office visit
84443,px,12,163,0.26956521739130435,0.2018348623853211,1.4594155844155845,0.1082598620716451,0.09578360240524401,1.0,Assay Thyroid Stim Hormone,lab test
93880,px,12,21,0.05217391304347826,0.022935779816513763,2.3449541284403668,0.11064210140505366,0.07636317481716522,1.0,Extracranial Bilat Study,procedure
Rosuvastatin Calcium,rx,3,13,0.034782608695652174,0.013761467889908258,2.5825825825825826,0.11522187588789773,0.10728340707236521,1.0,Rosuvastatin Calcium,medication
Z20822,dx,12,13,0.034782608695652174,0.013761467889908258,2.5825825825825826,0.11522187588789773,0.10728340707236521,1.0,Contact With And (Suspected) Exposure To Covid-19,diagnosis
93294,px,6,13,0.034782608695652174,0.013761467889908258,2.5825825825825826,0.11522187588789773,0.10728340707236521,1.0,Rem Interrog Evl Pm/Ldls Pm,procedure
I4891,dx,12,175,0.28695652173913044,0.21712538226299694,1.4510477499141188,0.11640583295970865,0.11023970987487886,1.0,Unspecified Atrial Fibrillation,diagnosis
93296,px,3,31,0.06956521739130435,0.035168195718654434,2.0511986997155627,0.1164884605270671,0.08404632292192904,1.0,Rem Interrog Evl Pm/Ids,procedure
99291,px,12,56,0.034782608695652174,0.07951070336391437,0.4171864171864172,0.11720263865412638,0.08863359455287559,1.0,Critical Care First Hour,office visit
3079F,px,6,57,0.11304347826086956,0.0672782874617737,1.766934046345811,0.1193527035127456,0.08674511338230541,1.0,Diast Bp 80-89 Mm Hg,procedure
J1100,px,12,57,0.11304347826086956,0.0672782874617737,1.766934046345811,0.1193527035127456,0.08046086542623025,1.0,Dexamethasone Sodium Phos,supply/service
E1165,dx,12,145,0.24347826086956523,0.17889908256880735,1.4771588564692013,0.12015161091711171,0.10336239995107105,1.0,Type 2 Diabetes Mellitus With Hyperglycemia,diagnosis
99396,px,12,116,0.2,0.14220183486238533,1.5080645161290323,0.12018985194308213,0.10147649712477495,1.0,Prev Visit Est Age 40-64,office visit
Atorvastatin Calcium,rx,12,74,0.1391304347826087,0.08868501529051988,1.660745384883316,0.12044522792468251,0.08472009091551498,1.0,Atorvastatin Calcium,medication
U071,dx,12,22,0.05217391304347826,0.024464831804281346,2.194954128440367,0.12256755419288251,0.10059996200328603,1.0,Covid-19,diagnosis
93296,px,6,58,0.11304347826086956,0.06880733944954129,1.7248366013071896,0.12270307622853747,0.09791037926312642,1.0,Rem Interrog Evl Pm/Ids,procedure
90471,px,12,75,0.1391304347826087,0.09021406727828746,1.6298579010443417,0.12326012667875305,0.09414504906472614,1.0,Immunization Admin,procedure
J7030,px,12,43,0.08695652173913043,0.05045871559633028,1.7922077922077921,0.1237897166905281,0.1106111376306494,1.0,Normal Saline Solution Infus,supply/service
1159F,px,12,76,0.1391304347826087,0.09174311926605505,1.6,0.12701228384463328,0.11555163886574481,1.0,Med List Docd In Rcrd,procedure
I422,dx,3,124,0.20869565217391303,0.1529051987767584,1.461098901098901,0.1327088533497417,0.13375185424990077,1.0,Other Hypertrophic Cardiomyopathy,diagnosis
Zolpidem Tartrate,rx,12,33,0.06956521739130435,0.0382262996941896,1.8811214953271027,0.13432465756440226,0.12263418943137885,1.0,Zolpidem Tartrate,medication
Azithromycin,rx,12,23,0.05217391304347826,0.02599388379204893,2.0626011872638963,0.13700647911657263,0.12895906195630577,1.0,Azithromycin,medication
99205,px,3,23,0.05217391304347826,0.02599388379204893,2.0626011872638963,0.13700647911657263,0.12895906195630577,1.0,Office O/P New Hi 60-74 Min,office visit
93283,px,6,23,0.05217391304347826,0.02599388379204893,2.0626011872638963,0.13700647911657263,0.12895906195630577,1.0,Prgrmg Eval Implantable Dfb,procedure
92134,px,6,23,0.05217391304347826,0.02599388379204893,2.0626011872638963,0.13700647911657263,0.12895906195630577,1.0,Cptr Ophth Dx Img Post Segmt,procedure
R5383,dx,12,23,0.05217391304347826,0.02599388379204893,2.0626011872638963,0.13700647911657263,0.1301370145899541,1.0,Other Fatigue,diagnosis
U071,dx,6,14,0.034782608695652174,0.01529051987767584,2.3207207207207206,0.14345385834357866,0.14988573472151295,1.0,Covid-19,diagnosis
71250,px,6,14,0.034782608695652174,0.01529051987767584,2.3207207207207206,0.14345385834357866,0.14988573472151295,1.0,Ct Thorax Dx C-,imaging
93356,px,3,14,0.034782608695652174,0.01529051987767584,2.3207207207207206,0.14345385834357866,0.14988573472151295,1.0,Myocrd Strain Img Spckl Trck,procedure
Allopurinol,rx,12,15,0.0,0.022935779816513763,0.0,0.14510998100516775,0.10139425484572334,1.0,Allopurinol,medication
11102,px,6,16,0.0,0.024464831804281346,0.0,0.14892223721703474,0.09044796751107544,1.0,Tangntl Bx Skin Single Les,procedure
74177,px,12,50,0.09565217391304348,0.05963302752293578,1.6678994082840237,0.1523884773577891,0.14482736789001596,1.0,Ct Abd & Pelv W/Contrast,imaging
94640,px,12,24,0.05217391304347826,0.027522935779816515,1.944954128440367,0.1537685511776556,0.16141057896261857,1.0,Airway Inhalation Treatment,procedure
I5030,dx,6,25,0.008695652173913044,0.03669724770642202,0.23026315789473684,0.15575225738576445,0.11883302391045189,1.0,Unspecified Diastolic (Congestive) Heart Failure,diagnosis
3079F,px,3,38,0.0782608695652174,0.04434250764525994,1.8298633702016915,0.15661248077471338,0.12342038088006789,1.0,Diast Bp 80-89 Mm Hg,procedure
R531,dx,6,38,0.0782608695652174,0.04434250764525994,1.8298633702016915,0.15661248077471338,0.12749108644625518,1.0,Weakness,diagnosis
R509,dx,12,17,0.043478260869565216,0.01834862385321101,2.4318181818181817,0.1570632946794993,0.09222495940431984,1.0,"Fever, Unspecified",diagnosis
A0428,px,12,17,0.043478260869565216,0.01834862385321101,2.4318181818181817,0.1570632946794993,0.0913597921875073,1.0,Bls,supply/service
93018,px,3,17,0.043478260869565216,0.01834862385321101,2.4318181818181817,0.1570632946794993,0.0913597921875073,1.0,Cardiovascular Stress Test,procedure
97530,px,3,17,0.043478260869565216,0.01834862385321101,2.4318181818181817,0.1570632946794993,0.0913597921875073,1.0,Therapeutic Activities,procedure
92015,px,3,17,0.043478260869565216,0.01834862385321101,2.4318181818181817,0.1570632946794993,0.0913597921875073,1.0,Determine Refractive State,procedure
Cyclobenzaprine Hydrochloride,rx,12,26,0.008695652173913044,0.0382262996941896,0.2207017543859649,0.15773017124696764,0.10636847041601032,1.0,Cyclobenzaprine Hydrochloride,medication
82565,px,12,51,0.034782608695652174,0.07186544342507645,0.4654015717845505,0.15923401440066381,0.1403959102132246,1.0,Assay Of Creatinine,lab test
G2211,px,6,71,0.13043478260869565,0.0856269113149847,1.6017857142857144,0.15990970107561628,0.13318253391828402,1.0,Complex E/M Visit Add On,supply/service
K219,dx,3,54,0.10434782608695652,0.06422018348623854,1.697642163661581,0.16265688787595933,0.12227057017325633,1.0,Gastro-Esophageal Reflux Disease Without Esophagitis,diagnosis
84443,px,3,54,0.10434782608695652,0.06422018348623854,1.697642163661581,0.16265688787595933,0.12227057017325633,1.0,Assay Thyroid Stim Hormone,lab test
90471,px,6,39,0.0782608695652174,0.045871559633027525,1.7660377358490567,0.16385605788747676,0.13656525993488067,1.0,Immunization Admin,procedure
